destination_name,total_reviews,positive_count,neutral_count,negative_count,positive_percentage,neutral_percentage,negative_percentage,category,average_rating,policy_class
Pantai Pelabuhan Cimari Muara,16,16,0,0,100.0,0.0,0.0,Tujuan Wisata,4.5,Promotional Priority
Pantai Punaga,19,19,0,0,100.0,0.0,0.0,Pantai,4.4,Promotional Priority
Pantai Sancang,34,34,0,0,100.0,0.0,0.0,Tujuan Wisata,4.7,Promotional Priority
Pantai Santolo,275,228,2,45,82.91,0.73,16.36,Pantai,4.3,Intervention Priority
Pantai Sayang Heulang,204,179,5,20,87.75,2.45,9.8,Pantai,4.4,Promotional Priority
Pantai Sayang heulang,198,174,4,20,87.88,2.02,10.1,Tujuan Wisata,4.5,Promotional Priority
Pantai Sodong Lalay,79,77,0,2,97.47,0.0,2.53,Tujuan Wisata,4.7,Promotional Priority
Pantai Sodong Parat,2,2,0,0,100.0,0.0,0.0,Tujuan Wisata,4.5,Insufficient Evidence
Pantai Taman Manalusu,68,68,0,0,100.0,0.0,0.0,Tujuan Wisata,4.4,Promotional Priority
Pantai caur,1,1,0,0,100.0,0.0,0.0,Tujuan Wisata,4.9,Insufficient Evidence
Pantai cicalengka,15,15,0,0,100.0,0.0,0.0,Tujuan Wisata,4.6,Promotional Priority
Pantai cicalobak,22,20,2,0,90.91,9.09,0.0,Tujuan Wisata,4.6,Promotional Priority
Pantai cijeruk,66,64,1,1,96.97,1.52,1.52,Tujuan Wisata,4.5,Promotional Priority
Pantai ciporeang ( sancang),3,3,0,0,100.0,0.0,0.0,Tujuan Wisata,4.6,Insufficient Evidence
Pantai pangikis,2,2,0,0,100.0,0.0,0.0,Otoritas Pelabuhan,4.8,Insufficient Evidence
Pantai santolo,275,228,2,45,82.91,0.73,16.36,Tujuan Wisata,4.5,Intervention Priority
Papandayan Resort and Leisure Park,7,7,0,0,100.0,0.0,0.0,Taman Hiburan,4.3,Insufficient Evidence
Pemandian Air Panas,6,5,0,1,83.33,0.0,16.67,Taman bermain,4.9,Insufficient Evidence
Pemandian Air Panas Ciengang,18,18,0,0,100.0,0.0,0.0,Spa,4.4,Promotional Priority
Pemandian Air Panas Cipanas Desa Mekarmukti,2,2,0,0,100.0,0.0,0.0,Tujuan Wisata,4.5,Insufficient Evidence
Pemandian Air Panas Kawah Talaga Bodas,5,5,0,0,100.0,0.0,0.0,Pemandian di Ruang Terbuka,4.3,Insufficient Evidence
Pemandian Cipanas,11,10,0,1,90.91,0.0,9.09,Produsen makanan,4.4,Promotional Priority
Pemandian air panas,2,2,0,0,100.0,0.0,0.0,Tujuan Wisata,4.7,Insufficient Evidence
Pemandian air panas kp CIKATEL,3,3,0,0,100.0,0.0,0.0,Pemandian Umum,4.9,Insufficient Evidence
Penginapan & Peralatan Camping Pantai Santolo,3,3,0,0,100.0,0.0,0.0,Layanan Sewa Tenda,4.2,Insufficient Evidence
"Penginapan dan pemandian air panas Putra Lugina, Cipanas Tarogong GarutGarut",4,2,0,2,50.0,0.0,50.0,Hotel,3.7,Insufficient Evidence
Pesona Leuweung Oko (Oko d'great),5,5,0,0,100.0,0.0,0.0,Tujuan Wisata,4.1,Insufficient Evidence
Pujasega bale tingtrim,69,63,0,6,91.3,0.0,8.7,Restoran Sunda,4.4,Promotional Priority
Puncak Parabon Kamojang,18,18,0,0,100.0,0.0,0.0,Tujuan Wisata,4.4,Promotional Priority
Puncak Pass Rancamaya,1,1,0,0,100.0,0.0,0.0,Tujuan Wisata,2.3,Insufficient Evidence
RM SARI COBEK CANGKUANG,13,11,0,2,84.62,0.0,15.38,Restoran Sunda,4.5,Intervention Priority
"RM Saung Cikenceh (Garut Kota, Cikuray)",383,369,1,13,96.34,0.26,3.39,Restoran Sunda,4.7,Promotional Priority
RM Sugema Raya,293,272,1,20,92.83,0.34,6.83,Restoran Sunda,4.5,Promotional Priority
Racik Desa,88,73,0,15,82.95,0.0,17.05,Restoran Sunda,4.3,Intervention Priority
Ramen Gorilla,311,302,1,8,97.11,0.32,2.57,Restoran Jepang,4.4,Promotional Priority
Ramenkane Cikuray Garut,398,396,0,2,99.5,0.0,0.5,Restoran Mie,4.9,Promotional Priority
Ranca buaya,122,114,1,7,93.44,0.82,5.74,Pantai,4.3,Promotional Priority
Rancabuaya Beach,160,158,0,2,98.75,0.0,1.25,Tujuan Wisata,4.6,Promotional Priority
Resto Core Garden Garut,290,288,0,2,99.31,0.0,0.69,Restoran,4.9,Promotional Priority
Restorasa,208,198,0,10,95.19,0.0,4.81,Restoran,4.8,Promotional Priority
Reverdose,12,12,0,0,100.0,0.0,0.0,Restoran,4.6,Promotional Priority
Roti & Kopi Gudang Rasa,44,37,1,6,84.09,2.27,13.64,Kafe,4.6,Promotional Priority
Rumah Makan Cibiuk,12,11,0,1,91.67,0.0,8.33,Restoran Indonesia,4.8,Promotional Priority
Rumah Makan Dua Saudara,27,27,0,0,100.0,0.0,0.0,Restoran Sunda,4.4,Promotional Priority
Rumah Makan Hangat,26,24,0,2,92.31,0.0,7.69,Restoran Masakan Ayam,4.3,Promotional Priority
Rumah Makan Kencana Sunda,47,25,1,21,53.19,2.13,44.68,Restoran Sunda,4.0,Intervention Priority
Rumah Makan Khas Sunda Cibiuk,257,244,1,12,94.94,0.39,4.67,Restoran Sunda,4.6,Promotional Priority
Rumah Makan Khas Sunda M. Iki,296,279,1,16,94.26,0.34,5.41,Restoran Sunda,4.5,Promotional Priority
Rumah Makan Lumbung Padi Garut,311,286,2,23,91.96,0.64,7.4,Restoran,4.5,Promotional Priority
Rumah Makan Megawati,12,10,0,2,83.33,0.0,16.67,Restoran Sunda,4.4,Intervention Priority
Rumah Makan Perahu Seaside,7,5,0,2,71.43,0.0,28.57,Tujuan Wisata,4.5,Insufficient Evidence
Rumah Makan Sunda - Dapoer Nyunda,310,308,0,2,99.35,0.0,0.65,Restoran,5.0,Promotional Priority
SBR 3 Pusat Oleh-oleh Garut,229,221,0,8,96.51,0.0,3.49,Toko Makanan,4.5,Promotional Priority
SITU BAGENDIT,110,81,11,18,73.64,10.0,16.36,Tujuan Wisata,4.4,Intervention Priority
SITU SARKANJUT,37,36,0,1,97.3,0.0,2.7,Tujuan Wisata,4.5,Promotional Priority
Sabda Alam Water Park,11,10,0,1,90.91,0.0,9.09,Tujuan Wisata,4.4,Promotional Priority
Santolo beach 2,7,7,0,0,100.0,0.0,0.0,Taman,4.5,Insufficient Evidence
Sasakala,264,250,1,13,94.7,0.38,4.92,Kedai Sarapan & Makan Siang,4.3,Promotional Priority
Sate Maranggi Pa' Nur,81,74,0,7,91.36,0.0,8.64,Restoran Indonesia,4.4,Promotional Priority
Sate Matuh,36,34,0,2,94.44,0.0,5.56,Restoran Sate,4.5,Promotional Priority
Saung Pananjung,112,99,0,13,88.39,0.0,11.61,Restoran Steak,4.4,Promotional Priority
Sayang Heulang Beach,67,60,1,6,89.55,1.49,8.96,Pantai,4.4,Promotional Priority
Sayang Heulang Garut,198,174,4,20,87.88,2.02,10.1,Pantai,4.4,Promotional Priority
SeaSide WaterPark n Resto,5,4,0,1,80.0,0.0,20.0,Tujuan Wisata,4.4,Insufficient Evidence
Sentral kuliner ikan garut,19,16,0,3,84.21,0.0,15.79,Restoran makanan pedesaan,4.1,Intervention Priority
Situ Bagendit,110,81,11,18,73.64,10.0,16.36,"Danau, Tujuan Wisata",4.25,Intervention Priority
Situ Cidahu,3,3,0,0,100.0,0.0,0.0,Tujuan Wisata,4.9,Insufficient Evidence
Situ Cigekgok,1,1,0,0,100.0,0.0,0.0,Tujuan Wisata,4.6,Insufficient Evidence
Sumber Alam permandian air panas,44,43,0,1,97.73,0.0,2.27,Hotel,4.6,Promotional Priority
Sumber mata air sirahna,10,10,0,0,100.0,0.0,0.0,Tujuan Wisata,4.7,Promotional Priority
Talangseng (tubing),4,4,0,0,100.0,0.0,0.0,Pemandian di Ruang Terbuka,4.5,Insufficient Evidence
Taman Air Panas Cahaya Villa,160,139,0,21,86.88,0.0,13.12,Kolam Renang,4.6,Promotional Priority
Taman Air Sabda Alam,194,176,1,17,90.72,0.52,8.76,Kompleks Kolam Renang,4.2,Promotional Priority
Taman Cikiara talagawangi pakenjen garut,1,1,0,0,100.0,0.0,0.0,Tujuan Wisata,5.0,Insufficient Evidence
Taman Hutan Kota Kubang,3,3,0,0,100.0,0.0,0.0,Taman Kota,4.8,Insufficient Evidence
Taman Kiansantang,5,5,0,0,100.0,0.0,0.0,Taman Kota,4.5,Insufficient Evidence
Taman Kuliner CIbatu,14,14,0,0,100.0,0.0,0.0,Pujasera,4.4,Promotional Priority
Taman Satwa Cikembulan,169,164,0,5,97.04,0.0,2.96,Kebun Binatang,4.3,Promotional Priority
Taman Teletubies Sayang Heulang,35,33,0,2,94.29,0.0,5.71,Taman,4.5,Promotional Priority
Taman Wisata Alam Gn Papandayan,248,243,1,4,97.98,0.4,1.61,Tujuan Wisata,4.8,Promotional Priority
Taman Wisata Beko Cibatu,5,5,0,0,100.0,0.0,0.0,Taman,3.9,Insufficient Evidence
Taman maktal,28,28,0,0,100.0,0.0,0.0,Taman Kota,4.5,Promotional Priority
Temu Space,249,227,3,19,91.16,1.2,7.63,Kafe,4.5,Promotional Priority
Teras Cimanuk,18,16,0,2,88.89,0.0,11.11,Taman,4.7,Promotional Priority
Terasering barugantung,84,84,0,0,100.0,0.0,0.0,Tujuan Wisata,4.8,Promotional Priority
Tirtagangga Hot Spring Resort,238,233,0,5,97.9,0.0,2.1,,4.5,Promotional Priority
Tirtagangga Hot Spring Resort Cipanas,25,23,0,2,92.0,0.0,8.0,Kolam Renang,4.6,Promotional Priority
Tugu Peringatan Banjir Bandang Sungai Cimanuk,1,1,0,0,100.0,0.0,0.0,Taman Kota,4.7,Insufficient Evidence
Tugu Simpang Lima,137,136,0,1,99.27,0.0,0.73,Taman,4.6,Promotional Priority
Tujuh Curug Cimanganten,16,16,0,0,100.0,0.0,0.0,Tujuan Wisata,4.5,Promotional Priority
Urbanview Hotel Puncak Darajat Highland Garut,142,126,2,14,88.73,1.41,9.86,,4.4,Promotional Priority
View deck sayang heulang,22,22,0,0,100.0,0.0,0.0,Tujuan Wisata,4.7,Promotional Priority
Villa Bumi Rancamaya Garut,1,1,0,0,100.0,0.0,0.0,Tujuan Wisata,4.1,Insufficient Evidence
WISATA BINAR ALAM VIEW,24,21,0,3,87.5,0.0,12.5,Kolam renang luar ruangan,4.3,Promotional Priority
Wana Wisata Mandalagiri,1,1,0,0,100.0,0.0,0.0,Tujuan Wisata,4.4,Insufficient Evidence
Warung Asakan,10,10,0,0,100.0,0.0,0.0,Restoran,4.7,Promotional Priority
Warung Bambu garut,31,18,0,13,58.06,0.0,41.94,Restoran Seafood,4.2,Intervention Priority
Waterboom Tirta Kencana,33,23,0,10,69.7,0.0,30.3,Kolam Renang,4.0,Intervention Priority
Wisata,58,55,0,3,94.83,0.0,5.17,Hotel,0.0,Monitoring / Improvement Priority
Wisata Air Gunbul Garut,7,7,0,0,100.0,0.0,0.0,Taman Hiburan,4.8,Insufficient Evidence
Wisata Air terjun cipalangi,1,1,0,0,100.0,0.0,0.0,Tujuan Wisata,5.0,Insufficient Evidence
Wisata Alam,3,3,0,0,100.0,0.0,0.0,Tujuan Wisata,4.6,Insufficient Evidence
Wisata Alam Batu Lempar,56,54,0,2,96.43,0.0,3.57,Tujuan Wisata,4.6,Promotional Priority
Wisata Alam Darajat Garut,26,26,0,0,100.0,0.0,0.0,Tujuan Wisata,4.4,Promotional Priority
Wisata Alam Kampung Sampireun,8,8,0,0,100.0,0.0,0.0,Hotel,4.5,Insufficient Evidence
Wisata Desa Pangauban,1,1,0,0,100.0,0.0,0.0,Tujuan Wisata,4.7,Insufficient Evidence
Wisata GUNUNG WAYANG,16,16,0,0,100.0,0.0,0.0,Tujuan Wisata,4.5,Promotional Priority
Wisata Gunung Guntur & Parkir,7,7,0,0,100.0,0.0,0.0,Tujuan Wisata,4.8,Insufficient Evidence
Wisata Gunung Papandayan Garut,16,14,1,1,87.5,6.25,6.25,Area Mendaki,4.7,Promotional Priority
Wisata Kebun Naga Poernama Garut,28,28,0,0,100.0,0.0,0.0,Tujuan Wisata,4.7,Promotional Priority
Wisata Kuliner Kerkof,45,44,0,1,97.78,0.0,2.22,Restoran,4.6,Promotional Priority
Wisata Pantai Gunung Geder,5,5,0,0,100.0,0.0,0.0,Tujuan Wisata,5.0,Insufficient Evidence
Wisata Pantai Karang Modang,9,9,0,0,100.0,0.0,0.0,Tujuan Wisata,4.5,Insufficient Evidence
Wisata Pantai Santolo,90,74,0,16,82.22,0.0,17.78,Pantai,4.3,Intervention Priority
Wisata Pelabuhan Rancabuaya,4,3,0,1,75.0,0.0,25.0,Tujuan Wisata,4.5,Insufficient Evidence
Wisata Situ Bagendit 1 (Satu),198,167,14,17,84.34,7.07,8.59,Tujuan Wisata,4.3,Promotional Priority
Wisata Situ Bagendit 2,21,17,2,2,80.95,9.52,9.52,Tujuan Wisata,4.4,Promotional Priority
Wisata Sungai Ciharus,41,41,0,0,100.0,0.0,0.0,Tujuan Wisata,4.5,Promotional Priority
Wisata kuliner Saung Kang Ujang,3,3,0,0,100.0,0.0,0.0,Restoran,4.4,Insufficient Evidence
Wiskul (Wisata & Kuliner) AsSunan,1,1,0,0,100.0,0.0,0.0,Tujuan Wisata,5.0,Insufficient Evidence
kebun jeruk,5,5,0,0,100.0,0.0,0.0,Tujuan Wisata,4.5,Insufficient Evidence
pantai karangnunggal cikelet,1,1,0,0,100.0,0.0,0.0,Rumah Pondokan,4.3,Insufficient Evidence
